video,frame,ear,mar,head_ratio,label
IMG_9498.MOV,0,0.39135,0.004,0.66492,awake
IMG_9498.MOV,1,0.45433,0.00874,0.65311,awake
IMG_9498.MOV,2,0.43174,0.0055,0.65356,awake
IMG_9498.MOV,3,0.41201,0.0035,0.65643,awake
IMG_9498.MOV,4,0.40479,0.00328,0.66028,awake
IMG_9498.MOV,5,0.38523,0.00384,0.65619,awake
IMG_9498.MOV,6,0.37696,0.00438,0.65884,awake
IMG_9498.MOV,7,0.37424,0.00333,0.65746,awake
IMG_9498.MOV,8,0.37059,0.0034,0.65507,awake
IMG_9498.MOV,9,0.37131,0.00439,0.65603,awake
IMG_9498.MOV,10,0.35945,0.00642,0.65627,awake
IMG_9498.MOV,11,0.36121,0.00629,0.65344,awake
IMG_9498.MOV,12,0.36223,0.00459,0.65158,awake
IMG_9498.MOV,13,0.36076,0.00499,0.65189,awake
IMG_9498.MOV,14,0.34454,0.00195,0.649,awake
IMG_9498.MOV,15,0.27378,0.00743,0.63692,awake
IMG_9498.MOV,16,0.12994,0.00371,0.63178,awake
IMG_9498.MOV,17,0.12623,0.00229,0.62793,awake
IMG_9498.MOV,18,0.14116,0.00054,0.63027,awake
IMG_9498.MOV,19,0.1304,0.00419,0.64057,awake
IMG_9498.MOV,20,0.13665,0.00993,0.64168,awake
IMG_9498.MOV,21,0.117,0.01138,0.63877,awake
IMG_9498.MOV,22,0.12092,0.00686,0.63351,awake
IMG_9498.MOV,23,0.14456,0.00287,0.62363,awake
IMG_9498.MOV,24,0.18796,0.00369,0.62705,awake
IMG_9498.MOV,25,0.17105,0.00553,0.62528,awake
IMG_9498.MOV,26,0.18433,0.00459,0.62998,awake
IMG_9498.MOV,27,0.23762,0.0065,0.62869,awake
IMG_9498.MOV,28,0.26529,0.00621,0.63091,awake
IMG_9498.MOV,29,0.25869,0.00685,0.64254,awake
IMG_9498.MOV,30,0.25873,0.00683,0.63406,awake
IMG_9498.MOV,31,0.25183,0.00597,0.63251,awake
IMG_9498.MOV,32,0.26794,0.00568,0.6251,awake
IMG_9498.MOV,33,0.2769,0.00546,0.63491,awake
IMG_9498.MOV,34,0.28027,0.00491,0.63663,awake
IMG_9498.MOV,35,0.27301,0.0031,0.63792,awake
IMG_9498.MOV,36,0.26961,0.00384,0.64064,awake
IMG_9498.MOV,37,0.26549,0.00439,0.63472,awake
IMG_9498.MOV,38,0.23444,0.00818,0.64175,awake
IMG_9498.MOV,39,0.25451,0.00178,0.64142,awake
IMG_9498.MOV,40,0.25064,0.00194,0.63031,awake
IMG_9498.MOV,41,0.24107,0.00469,0.63908,awake
IMG_9498.MOV,42,0.23898,0.00556,0.63396,awake
IMG_9498.MOV,43,0.22793,0.00589,0.63105,awake
IMG_9498.MOV,44,0.26461,0.00338,0.63677,awake
IMG_9498.MOV,45,0.28532,0.00183,0.63901,awake
IMG_9498.MOV,46,0.29542,0.00263,0.63974,awake
IMG_9498.MOV,47,0.28248,0.00327,0.64128,awake
IMG_9498.MOV,48,0.28416,0.00414,0.637,awake
IMG_9498.MOV,49,0.29411,0.00272,0.63692,awake
IMG_9498.MOV,50,0.33075,0.00709,0.64369,awake
IMG_9498.MOV,51,0.30415,0.00424,0.63861,awake
IMG_9498.MOV,52,0.32182,0.00315,0.62528,awake
IMG_9498.MOV,53,0.31184,0.00717,0.63049,awake
IMG_9498.MOV,54,0.31207,0.00905,0.63097,awake
IMG_9498.MOV,55,0.29802,0.00866,0.6402,awake
IMG_9498.MOV,56,0.2605,0.00509,0.63961,awake
IMG_9498.MOV,57,0.23481,0.00897,0.64618,awake
IMG_9498.MOV,58,0.22157,0.00929,0.64658,awake
IMG_9498.MOV,59,0.24421,0.00725,0.64777,awake
IMG_9498.MOV,60,0.2594,0.00212,0.6392,awake
IMG_9498.MOV,61,0.25004,0.00269,0.63607,awake
IMG_9498.MOV,62,0.2411,0.00328,0.62703,awake
IMG_9498.MOV,63,0.24463,0.00604,0.6358,awake
IMG_9498.MOV,64,0.26167,0.00158,0.63837,awake
IMG_9498.MOV,65,0.25539,0.00483,0.64111,awake
IMG_9498.MOV,66,0.29623,0.00749,0.64203,awake
IMG_9498.MOV,67,0.31629,0.01025,0.63339,awake
IMG_9498.MOV,68,0.37453,0.0059,0.6411,awake
IMG_9498.MOV,69,0.37799,0.00317,0.64508,awake
IMG_9498.MOV,70,0.36823,0.00272,0.63133,awake
IMG_9498.MOV,71,0.36717,0.00615,0.6475,awake
IMG_9498.MOV,72,0.36185,0.00559,0.63978,awake
IMG_9498.MOV,73,0.37663,0.00697,0.64427,awake
IMG_9498.MOV,74,0.36047,0.00703,0.64467,awake
IMG_9498.MOV,75,0.37144,0.00693,0.64615,awake
